co2_value,Category
370.37,Satisfactory
370.46,Satisfactory
370.47,Satisfactory
369.46,Satisfactory
369.76,Satisfactory
369.97,Satisfactory
369.93,Satisfactory
369.37,Satisfactory
368.91,Satisfactory
367.31,Satisfactory
370.07,Satisfactory
370.03,Satisfactory
369.77,Satisfactory
369.44,Satisfactory
369.72,Satisfactory
369.11,Satisfactory
369.37,Satisfactory
369.24,Satisfactory
369.38,Satisfactory
368.84,Satisfactory
369.7,Satisfactory
369.58,Satisfactory
369.72,Satisfactory
369.22,Satisfactory
369.48,Satisfactory
369.27,Satisfactory
369.06,Satisfactory
369.33,Satisfactory
368.9,Satisfactory
369.2,Satisfactory
368.83,Satisfactory
368.2,Satisfactory
368.25,Satisfactory
368.33,Satisfactory
366.97,Satisfactory
368.54,Satisfactory
368.47,Satisfactory
368.44,Satisfactory
368.99,Satisfactory
368.28,Satisfactory
368.24,Satisfactory
368.94,Satisfactory
368.81,Satisfactory
368.48,Satisfactory
367.88,Satisfactory
367.73,Satisfactory
367.83,Satisfactory
367.8,Satisfactory
367.83,Satisfactory
368.42,Satisfactory
368.48,Satisfactory
367.39,Satisfactory
367.29,Satisfactory
367.39,Satisfactory
367.87,Satisfactory
367.53,Satisfactory
368.01,Satisfactory
367.96,Satisfactory
368.17,Satisfactory
368.11,Satisfactory
368.23,Satisfactory
368.48,Satisfactory
368.18,Satisfactory
368.32,Satisfactory
368.35,Satisfactory
368.1,Satisfactory
368.1,Satisfactory
368.49,Satisfactory
368.52,Satisfactory
367.85,Satisfactory
367.64,Satisfactory
367.45,Satisfactory
369.06,Satisfactory
368.43,Satisfactory
368.18,Satisfactory
368.64,Satisfactory
368.54,Satisfactory
368.54,Satisfactory
368.5,Satisfactory
368.8,Satisfactory
369.17,Satisfactory
368.55,Satisfactory
368.84,Satisfactory
369.25,Satisfactory
369.18,Satisfactory
369.28,Satisfactory
369.17,Satisfactory
369.17,Satisfactory
368.85,Satisfactory
368.97,Satisfactory
368.9,Satisfactory
369.3,Satisfactory
369.14,Satisfactory
369.04,Satisfactory
369.07,Satisfactory
369.12,Satisfactory
369.81,Satisfactory
369.71,Satisfactory
369.98,Satisfactory
369.92,Satisfactory
370.07,Satisfactory
370.5,Satisfactory
370.62,Satisfactory
369.89,Satisfactory
370.32,Satisfactory
370.57,Satisfactory
370.42,Satisfactory
370.52,Satisfactory
370.6,Satisfactory
370.22,Satisfactory
370.21,Satisfactory
370.53,Satisfactory
370.69,Satisfactory
370.9,Satisfactory
370.47,Satisfactory
370.63,Satisfactory
371.13,Satisfactory
370.93,Satisfactory
370.74,Satisfactory
370.64,Satisfactory
370.67,Satisfactory
371.06,Satisfactory
372.32,Satisfactory
371.56,Satisfactory
370.95,Satisfactory
371.14,Satisfactory
371.27,Satisfactory
371.25,Satisfactory
371.07,Satisfactory
371.03,Satisfactory
371.37,Satisfactory
371.35,Satisfactory
371.51,Satisfactory
371.38,Satisfactory
371.57,Satisfactory
371.26,Satisfactory
372.91,Satisfactory
371.62,Satisfactory
371.4,Satisfactory
371.58,Satisfactory
371.79,Satisfactory
373.32,Satisfactory
371.75,Satisfactory
372.13,Satisfactory
372.75,Satisfactory
372.1,Satisfactory
372.23,Satisfactory
371.94,Satisfactory
371.9,Satisfactory
371.8,Satisfactory
371.97,Satisfactory
372.8,Satisfactory
372.79,Satisfactory
372.61,Satisfactory
372.47,Satisfactory
372.17,Satisfactory
372.41,Satisfactory
372.28,Satisfactory
373.91,Satisfactory
373.3,Satisfactory
373.04,Satisfactory
373.01,Satisfactory
372.71,Satisfactory
372.68,Satisfactory
372.55,Satisfactory
371.96,Satisfactory
372.1,Satisfactory
373.03,Satisfactory
372.23,Satisfactory
373.04,Satisfactory
372.96,Satisfactory
372.5,Satisfactory
373.12,Satisfactory
374.23,Satisfactory
372.31,Satisfactory
372.31,Satisfactory
372.44,Satisfactory
373.73,Satisfactory
374.15,Satisfactory
373.18,Satisfactory
373.02,Satisfactory
372.94,Satisfactory
372.59,Satisfactory
372.5,Satisfactory
372.64,Satisfactory
372.93,Satisfactory
372.88,Satisfactory
372.64,Satisfactory
372.6,Satisfactory
374.46,Satisfactory
373.21,Satisfactory
372.87,Satisfactory
372.88,Satisfactory
373.76,Satisfactory
374.22,Satisfactory
374.58,Satisfactory
374.83,Satisfactory
373.18,Satisfactory
372.72,Satisfactory
375.21,Satisfactory
373.81,Satisfactory
373.96,Satisfactory
373.17,Satisfactory
373.5,Satisfactory
373.95,Satisfactory
373.5,Satisfactory
374.61,Satisfactory
374.3,Satisfactory
374.15,Satisfactory
374.08,Satisfactory
374.08,Satisfactory
374.04,Satisfactory
373.68,Satisfactory
374.03,Satisfactory
375.57,Satisfactory
373.27,Satisfactory
373.95,Satisfactory
374.57,Satisfactory
375.07,Satisfactory
373.22,Satisfactory
372.89,Satisfactory
373.16,Satisfactory
373.65,Satisfactory
374.4,Satisfactory
373.85,Satisfactory
374.59,Satisfactory
373.54,Satisfactory
373.52,Satisfactory
373.38,Satisfactory
374.66,Satisfactory
375.39,Satisfactory
375.11,Satisfactory
374.23,Satisfactory
375.34,Satisfactory
374.88,Satisfactory
374.83,Satisfactory
374.56,Satisfactory
374.12,Satisfactory
373.96,Satisfactory
374.03,Satisfactory
375.39,Satisfactory
375.3,Satisfactory
374.83,Satisfactory
375.18,Satisfactory
375.42,Satisfactory
375.5,Satisfactory
375.18,Satisfactory
375.48,Satisfactory
375,Satisfactory
374.93,Satisfactory
375.09,Satisfactory
375.77,Satisfactory
375.86,Satisfactory
375.76,Satisfactory
375.99,Satisfactory
375.98,Satisfactory
376.19,Satisfactory
376.06,Satisfactory
376.23,Satisfactory
376.18,Satisfactory
375.75,Satisfactory
375.44,Satisfactory
375.85,Satisfactory
376.24,Satisfactory
376.32,Satisfactory
374.99,Satisfactory
374.73,Satisfactory
374.63,Satisfactory
374.91,Satisfactory
375.41,Satisfactory
374.87,Satisfactory
374.99,Satisfactory
375.58,Satisfactory
376.02,Satisfactory
375.1,Satisfactory
375.93,Satisfactory
376.09,Satisfactory
376.14,Satisfactory
376.12,Satisfactory
376.08,Satisfactory
375.92,Satisfactory
376.58,Satisfactory
376.11,Satisfactory
376.14,Satisfactory
376.2,Satisfactory
376.52,Satisfactory
376.22,Satisfactory
375.94,Satisfactory
375.67,Satisfactory
375.67,Satisfactory
375.98,Satisfactory
376.13,Satisfactory
376,Satisfactory
375.91,Satisfactory
375.64,Satisfactory
375.66,Satisfactory
375.23,Satisfactory
375.46,Satisfactory
375.58,Satisfactory
375.43,Satisfactory
375.15,Satisfactory
375.36,Satisfactory
375.51,Satisfactory
375.01,Satisfactory
375.2,Satisfactory
375.06,Satisfactory
376.25,Satisfactory
376.53,Satisfactory
376.37,Satisfactory
374.96,Satisfactory
374.69,Satisfactory
374.86,Satisfactory
374.77,Satisfactory
374.83,Satisfactory
374.56,Satisfactory
375.17,Satisfactory
374.57,Satisfactory
374.79,Satisfactory
374.87,Satisfactory
374.94,Satisfactory
374.77,Satisfactory
374.97,Satisfactory
374.55,Satisfactory
373.94,Satisfactory
374.06,Satisfactory
374.44,Satisfactory
374.53,Satisfactory
374.37,Satisfactory
373.95,Satisfactory
373.6,Satisfactory
373.87,Satisfactory
373.86,Satisfactory
373.98,Satisfactory
373.94,Satisfactory
373.84,Satisfactory
373.85,Satisfactory
373.65,Satisfactory
371.41,Satisfactory
372.58,Satisfactory
373.48,Satisfactory
373.29,Satisfactory
373.52,Satisfactory
373.95,Satisfactory
373.14,Satisfactory
373.31,Satisfactory
372.94,Satisfactory
372.59,Satisfactory
372.2,Satisfactory
371.45,Satisfactory
371.75,Satisfactory
372.62,Satisfactory
372.64,Satisfactory
371.72,Satisfactory
371.81,Satisfactory
371.79,Satisfactory
372.45,Satisfactory
370.45,Satisfactory
370.56,Satisfactory
372.01,Satisfactory
372.07,Satisfactory
371.86,Satisfactory
371.36,Satisfactory
370.54,Satisfactory
370.89,Satisfactory
371.36,Satisfactory
371.73,Satisfactory
370.39,Satisfactory
369.78,Satisfactory
370.65,Satisfactory
371.64,Satisfactory
370.44,Satisfactory
369.63,Satisfactory
369.43,Satisfactory
371.38,Satisfactory
371.23,Satisfactory
370.58,Satisfactory
371.45,Satisfactory
371.93,Satisfactory
371.61,Satisfactory
371.7,Satisfactory
371.31,Satisfactory
371.78,Satisfactory
372,Satisfactory
370.11,Satisfactory
370.55,Satisfactory
370.62,Satisfactory
370.88,Satisfactory
370.82,Satisfactory
370.28,Satisfactory
370.15,Satisfactory
370.31,Satisfactory
370.39,Satisfactory
370.7,Satisfactory
370.84,Satisfactory
370.35,Satisfactory
369.39,Satisfactory
369.78,Satisfactory
369.69,Satisfactory
369.8,Satisfactory
369.67,Satisfactory
370.48,Satisfactory
370.01,Satisfactory
369.49,Satisfactory
369.7,Satisfactory
369.79,Satisfactory
369.9,Satisfactory
370.16,Satisfactory
370.3,Satisfactory
371.54,Satisfactory
370.65,Satisfactory
370.69,Satisfactory
370.96,Satisfactory
371.68,Satisfactory
371.6,Satisfactory
371.54,Satisfactory
371.47,Satisfactory
371.17,Satisfactory
371.02,Satisfactory
370.52,Satisfactory
370.05,Satisfactory
370.28,Satisfactory
370.27,Satisfactory
370.11,Satisfactory
370.86,Satisfactory
371.22,Satisfactory
371.59,Satisfactory
371.2,Satisfactory
371.19,Satisfactory
371.26,Satisfactory
371.81,Satisfactory
372.71,Satisfactory
372.67,Satisfactory
371.69,Satisfactory
371.59,Satisfactory
371.7,Satisfactory
371.59,Satisfactory
371.93,Satisfactory
371.66,Satisfactory
371.76,Satisfactory
371.96,Satisfactory
372.04,Satisfactory
371.89,Satisfactory
371.79,Satisfactory
372.03,Satisfactory
373.59,Satisfactory
372.72,Satisfactory
372.8,Satisfactory
372.83,Satisfactory
372.39,Satisfactory
372.73,Satisfactory
372.88,Satisfactory
372.64,Satisfactory
372.76,Satisfactory
372.85,Satisfactory
372.65,Satisfactory
372.81,Satisfactory
372.52,Satisfactory
372.63,Satisfactory
373.3,Satisfactory
373.41,Satisfactory
372.87,Satisfactory
373.02,Satisfactory
373.56,Satisfactory
374.1,Satisfactory
372.85,Satisfactory
373.51,Satisfactory
373.98,Satisfactory
373.5,Satisfactory
373.76,Satisfactory
373.44,Satisfactory
373.44,Satisfactory
373.89,Satisfactory
373.53,Satisfactory
373.68,Satisfactory
373.44,Satisfactory
373.64,Satisfactory
373.37,Satisfactory
374.47,Satisfactory
374.64,Satisfactory
375.47,Satisfactory
374.18,Satisfactory
373.84,Satisfactory
374.04,Satisfactory
374.67,Satisfactory
374.51,Satisfactory
374.96,Satisfactory
375.4,Satisfactory
375.43,Satisfactory
374.04,Satisfactory
374.15,Satisfactory
374.33,Satisfactory
374.22,Satisfactory
375.46,Satisfactory
374.92,Satisfactory
373.87,Satisfactory
374.35,Satisfactory
374.21,Satisfactory
374.79,Satisfactory
374.8,Satisfactory
374.75,Satisfactory
374.78,Satisfactory
374.48,Satisfactory
376.18,Satisfactory
375.09,Satisfactory
375.06,Satisfactory
374.64,Satisfactory
374.62,Satisfactory
375.85,Satisfactory
375.65,Satisfactory
375.09,Satisfactory
374.9,Satisfactory
374.63,Satisfactory
375,Satisfactory
375.58,Satisfactory
374.84,Satisfactory
375.27,Satisfactory
374.96,Satisfactory
376.17,Satisfactory
375.25,Satisfactory
375.47,Satisfactory
375.21,Satisfactory
375.05,Satisfactory
375.01,Satisfactory
374.72,Satisfactory
375.16,Satisfactory
375.54,Satisfactory
375.32,Satisfactory
374.75,Satisfactory
375.02,Satisfactory
374.81,Satisfactory
374.94,Satisfactory
374.93,Satisfactory
376.02,Satisfactory
376.38,Satisfactory
376.25,Satisfactory
376.65,Satisfactory
376.39,Satisfactory
376.37,Satisfactory
376.22,Satisfactory
376.38,Satisfactory
376.52,Satisfactory
377.29,Satisfactory
375.73,Satisfactory
375.61,Satisfactory
375.52,Satisfactory
375.17,Satisfactory
375.98,Satisfactory
375.94,Satisfactory
376.12,Satisfactory
377.38,Satisfactory
376.54,Satisfactory
375.86,Satisfactory
376.07,Satisfactory
376.17,Satisfactory
375.88,Satisfactory
376.27,Satisfactory
377.79,Satisfactory
377.47,Satisfactory
375.45,Satisfactory
375.32,Satisfactory
375.74,Satisfactory
375.24,Satisfactory
376.16,Satisfactory
375.63,Satisfactory
376.28,Satisfactory
376.49,Satisfactory
377.28,Satisfactory
376.56,Satisfactory
376.44,Satisfactory
376.67,Satisfactory
377.08,Satisfactory
377.13,Satisfactory
377.31,Satisfactory
376.96,Satisfactory
377.41,Satisfactory
376.93,Satisfactory
376.42,Satisfactory
376.19,Satisfactory
376.53,Satisfactory
377.48,Satisfactory
377.17,Satisfactory
377.21,Satisfactory
376.86,Satisfactory
376.47,Satisfactory
377.09,Satisfactory
377.2,Satisfactory
377.45,Satisfactory
377.75,Satisfactory
377.08,Satisfactory
377.22,Satisfactory
377.72,Satisfactory
377.98,Satisfactory
377.95,Satisfactory
378.26,Satisfactory
377.75,Satisfactory
378.23,Satisfactory
378.37,Satisfactory
378.1,Satisfactory
378.28,Satisfactory
378.38,Satisfactory
378.38,Satisfactory
378.33,Satisfactory
378.64,Satisfactory
378.96,Satisfactory
378.32,Satisfactory
378.3,Satisfactory
378.98,Satisfactory
378.84,Satisfactory
378.38,Satisfactory
378.6,Satisfactory
378.35,Satisfactory
377.5,Satisfactory
378.67,Satisfactory
379.27,Satisfactory
377.72,Satisfactory
377.5,Satisfactory
378.07,Satisfactory
377.74,Satisfactory
377.4,Satisfactory
377.51,Satisfactory
377.53,Satisfactory
377.54,Satisfactory
379.07,Satisfactory
379.69,Satisfactory
380.17,Satisfactory
379.99,Satisfactory
379.1,Satisfactory
379.6,Satisfactory
379.28,Satisfactory
378.94,Satisfactory
378.96,Satisfactory
378.9,Satisfactory
378.72,Satisfactory
379.23,Satisfactory
379.11,Satisfactory
379.06,Satisfactory
378.22,Satisfactory
377.82,Satisfactory
377.62,Satisfactory
378.82,Satisfactory
378.57,Satisfactory
378.79,Satisfactory
378.08,Satisfactory
378.39,Satisfactory
378.31,Satisfactory
378.56,Satisfactory
378.72,Satisfactory
378.31,Satisfactory
378.6,Satisfactory
378.35,Satisfactory
378.12,Satisfactory
378.04,Satisfactory
378.04,Satisfactory
378.07,Satisfactory
378.63,Satisfactory
378.18,Satisfactory
377.75,Satisfactory
377.96,Satisfactory
377.47,Satisfactory
378.76,Satisfactory
378.52,Satisfactory
378.38,Satisfactory
378.37,Satisfactory
377.86,Satisfactory
377.48,Satisfactory
377.47,Satisfactory
378.03,Satisfactory
378.73,Satisfactory
376.67,Satisfactory
376.47,Satisfactory
377.09,Satisfactory
375.79,Satisfactory
377.14,Satisfactory
375.72,Satisfactory
376.22,Satisfactory
376.65,Satisfactory
377.32,Satisfactory
377.16,Satisfactory
377.07,Satisfactory
378.25,Satisfactory
377.35,Satisfactory
376.43,Satisfactory
377.04,Satisfactory
377.21,Satisfactory
376.69,Satisfactory
376.92,Satisfactory
376.52,Satisfactory
376.67,Satisfactory
376.02,Satisfactory
375.9,Satisfactory
376.02,Satisfactory
376.17,Satisfactory
376.13,Satisfactory
